City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Punta Arenas,-53.15,-70.9167,274.21,75,0,5.66,CL,2022-05-28 01:47:15
1,Nuuk,64.1835,-51.7216,273.49,86,100,6.44,GL,2022-05-28 01:47:16
2,Mataura,-46.1927,168.8643,285.64,64,19,2.75,NZ,2022-05-28 01:47:16
3,Hilo,19.7297,-155.09,300.53,79,100,1.54,US,2022-05-28 01:47:17
4,Esperance,-33.8667,121.9,289.74,48,9,6.7,AU,2022-05-28 01:47:17
5,Georgetown,5.4112,100.3354,304.11,86,40,2.24,MY,2022-05-28 01:43:35
6,Nyurba,63.2842,118.3319,282.43,46,61,4.07,RU,2022-05-28 01:47:18
7,Kahului,20.8947,-156.47,301.16,62,75,8.75,US,2022-05-28 01:47:19
8,Jamestown,42.097,-79.2353,290.92,89,100,3.09,US,2022-05-28 01:45:48
9,Bredasdorp,-34.5322,20.0403,285.22,90,67,1.71,ZA,2022-05-28 01:47:19
10,Sambava,-14.2667,50.1667,293.9,87,65,3.7,MG,2022-05-28 01:47:20
11,La Paz,-16.5,-68.15,277.14,80,0,2.06,BO,2022-05-28 01:47:20
12,Bluff,-46.6,168.3333,285.82,74,92,4.37,NZ,2022-05-28 01:47:20
13,Warri,5.5167,5.75,296.19,96,92,1.67,NG,2022-05-28 01:47:21
14,Husavik,66.0449,-17.3389,277.1,84,5,2.77,IS,2022-05-28 01:47:21
15,Karratha,-20.7377,116.8463,299.43,72,95,4.55,AU,2022-05-28 01:47:22
16,Isangel,-19.55,169.2667,300.23,70,100,2.28,VU,2022-05-28 01:47:22
17,Ushuaia,-54.8,-68.3,274.96,80,100,14.4,AR,2022-05-28 01:47:07
18,Vaini,-21.2,-175.2,300.24,83,75,3.6,TO,2022-05-28 01:47:23
19,Port Hardy,50.6996,-127.4199,286.25,71,75,6.17,CA,2022-05-28 01:47:23
20,Magnolia,33.2671,-93.2393,294.98,88,0,1.05,US,2022-05-28 01:47:24
21,Chuy,-33.6971,-53.4616,284.79,90,65,3.06,UY,2022-05-28 01:47:24
22,Khatanga,71.9667,102.5,275.25,66,100,1.58,RU,2022-05-28 01:47:25
23,Margate,51.3813,1.3862,285.3,67,37,2.68,GB,2022-05-28 01:47:25
24,Hobyo,5.3505,48.5268,299.08,84,48,8.24,SO,2022-05-28 01:47:25
25,Batagay-Alyta,67.8006,130.4114,273.22,78,20,1.04,RU,2022-05-28 01:47:26
26,Sitka,57.0531,-135.33,290.09,55,40,5.14,US,2022-05-28 01:47:26
27,Tasiilaq,65.6145,-37.6368,277.24,76,100,3.82,GL,2022-05-28 01:47:27
28,Castro,-24.7911,-50.0119,286.43,86,6,1.66,BR,2022-05-28 01:47:27
29,Severo-Kurilsk,50.6789,156.125,280.61,87,100,1.7,RU,2022-05-28 01:47:28
30,Barra Do Garcas,-15.89,-52.2567,293.63,64,100,0.51,BR,2022-05-28 01:47:28
31,Luderitz,-26.6481,15.1594,285.56,86,0,3.02,NA,2022-05-28 01:47:29
32,Kapaa,22.0752,-159.319,300.44,63,40,5.66,US,2022-05-28 01:47:29
33,Coquimbo,-29.9533,-71.3436,285.0,100,100,2.57,CL,2022-05-28 01:43:16
34,Rikitea,-23.1203,-134.9692,298.11,73,19,5.31,PF,2022-05-28 01:47:30
35,Cayenne,4.9333,-52.3333,300.98,5,0,0.89,GF,2022-05-28 01:47:30
36,Busselton,-33.65,115.3333,290.12,69,0,3.45,AU,2022-05-28 01:47:30
37,Port Alfred,-33.5906,26.891,289.36,76,16,3.03,ZA,2022-05-28 01:47:31
38,Komsomolskiy,40.4272,71.7189,291.55,72,40,2.06,UZ,2022-05-28 01:47:31
39,Kununurra,-15.7667,128.7333,303.5,22,100,5.19,AU,2022-05-28 01:47:32
40,Mazatlan,23.2167,-106.4167,300.88,81,90,1.79,MX,2022-05-28 01:43:09
41,Lata,40.1629,-8.3327,291.52,39,0,2.19,PT,2022-05-28 01:47:33
42,Thompson,55.7435,-97.8558,281.24,61,75,1.54,CA,2022-05-28 01:47:33
43,Dikson,73.5069,80.5464,271.12,82,12,1.61,RU,2022-05-28 01:47:33
44,Bandarbeyla,9.4942,50.8122,300.22,72,38,8.64,SO,2022-05-28 01:47:34
45,Pryluky,50.5932,32.3876,283.01,95,100,5.07,UA,2022-05-28 01:47:34
46,South Yarmouth,41.6668,-70.1847,292.95,98,100,5.66,US,2022-05-28 01:47:35
47,Bati,11.1833,40.0167,295.01,29,100,2.73,ET,2022-05-28 01:47:36
48,Biltine,14.5333,20.9167,300.1,8,1,3.2,TD,2022-05-28 01:47:36
49,Itarema,-2.9248,-39.9167,297.37,82,71,3.32,BR,2022-05-28 01:47:36
