City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
3,Hilo,US,78.28,heavy intensity rain,19.7297,-155.09,Hilo Hawaiian Hotel
5,Georgetown,MY,89.53,few clouds,5.4112,100.3354,Cititel Penang
7,Kahului,US,82.42,overcast clouds,20.8947,-156.47,Maui Seaside Hotel
13,Warri,NG,73.08,overcast clouds,5.5167,5.75,BON Hotel Delta
15,Karratha,AU,82.33,moderate rain,-20.7377,116.8463,ibis Styles Karratha
16,Isangel,VU,81.18,overcast clouds,-19.55,169.2667,Tanna Lodge
18,Vaini,TO,82.56,broken clouds,-21.2,-175.2,Keleti Beach Resort
24,Hobyo,SO,79.09,broken clouds,5.3505,48.5268,Iftin hotel hobyo
32,Kapaa,US,80.58,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
34,Rikitea,PF,76.96,few clouds,-23.1203,-134.9692,People ThankYou
35,Cayenne,GF,81.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
39,Kununurra,AU,89.58,overcast clouds,-15.7667,128.7333,Hotel Kununurra
40,Mazatlan,MX,80.02,scattered clouds,23.2167,-106.4167,Hotel La Siesta
44,Bandarbeyla,SO,80.82,broken clouds,9.4942,50.8122,JABIR HOTEL
47,Bati,ET,70.75,overcast clouds,11.1833,40.0167,Meqdela Hotel
48,Biltine,TD,79.81,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
49,Itarema,BR,75.29,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
50,La Asuncion,VE,77.52,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
54,Katobu,ID,85.64,light rain,-4.9408,122.5276,La Ode Husein
55,Souillac,MU,71.98,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
56,Banda Aceh,ID,85.39,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
57,Machilipatnam,IN,94.62,few clouds,16.1667,81.1333,R&B Bungalow
60,Carnarvon,AU,70.07,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
62,Seoul,KR,76.57,clear sky,37.5683,126.9778,롯데호텔 서울
63,Puerto Ayora,EC,71.55,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
67,Geraldton,AU,72.01,clear sky,-28.7667,114.6,Broadwater Mariner Resort
71,Eirunepe,BR,71.6,overcast clouds,-6.6603,-69.8736,Atrás de você
72,Butaritari,KI,81.36,light rain,3.0707,172.7902,Isles Sunset Lodge
77,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,Pirineos
78,Touros,BR,75.42,light rain,-5.1989,-35.4608,INN NEW HORIZON
82,Wanning,CN,86.36,overcast clouds,18.8003,110.3967,Paradise Hotel
83,Ambon,ID,86.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
87,Panaba,MX,77.85,overcast clouds,21.2833,-88.2667,Hotel Don Fernando
89,Hambantota,LK,80.94,few clouds,6.1241,81.1185,Bungalow 63
93,Bontang,ID,78.73,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
94,Meadow Lake,US,81.84,overcast clouds,34.8014,-106.5436,TumbleWeed RV Park
95,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
100,Mareeba,AU,81.66,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
101,Ouro Preto Do Oeste,BR,71.87,few clouds,-10.7481,-62.2158,Graúna Resort Hotel
103,Saraland,US,75.24,clear sky,30.8207,-88.0706,Microtel Inn & Suites by Wyndham Saraland/North Mobile
104,Caravelas,BR,70.48,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
117,Saint George,US,91.99,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
119,Lamar,US,75.11,clear sky,33.6668,-95.5836,Kings Inn Paris TX
122,Waingapu,ID,84.49,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
124,Sorong,ID,83.52,scattered clouds,-0.8833,131.25,Waigo Splash Hotel
127,Todos Santos,MX,86.05,clear sky,23.45,-110.2167,Hotel California Todos Santos
130,Turan,VN,93.18,clear sky,16.0678,108.2208,Grand Mercure Danang
132,Soyo,AO,72.41,clear sky,-6.1349,12.3689,Hotel Mpampa
136,La Palma,US,71.55,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
139,Sri Aman,MY,82.45,few clouds,1.2376,111.4621,Seri Simanggang Hotel
141,Belmonte,BR,72.55,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
145,Matamoros,MX,85.69,clear sky,25.5333,-103.25,Quinta Belem
146,Mitchell,US,76.98,clear sky,43.7094,-98.0298,Kelly Inn & Suites
147,Mayo,US,70.21,overcast clouds,38.8876,-76.5119,Resorts Resource Group International
158,Messina,IT,71.8,scattered clouds,38.1933,15.5497,Hotel Touring
161,Tianpeng,CN,70.27,broken clouds,30.9866,103.9393,Shuangliu Love Home Business Hotel
162,Takoradi,GH,78.78,light rain,4.8845,-1.7554,Raybow International Hotel
163,College,US,72.0,few clouds,64.8569,-147.8028,Pike's Waterfront Lodge
167,Chilmari,BD,83.86,clear sky,25.5559,89.6715,Wadud mondol Vila
169,Sosua,DO,75.24,scattered clouds,19.7667,-70.5167,Piergiorgio Palace Hotel
170,Arraial Do Cabo,BR,71.62,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
171,Along,IN,80.82,overcast clouds,28.1667,94.7667,Hotel West
172,Dingle,PH,86.41,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
174,Victoria,HK,90.18,broken clouds,22.2855,114.1577,Mini Central
175,Lorengau,PG,84.56,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
181,Baiyin,CN,75.13,overcast clouds,36.5583,104.2081,GreenTree Alliance Gansu Baiyin Renmin Road Hotel
184,Wuwei,CN,81.37,clear sky,37.9281,102.6414,Thank Inn Chain Hotel gansu wuwei liangzhou district xiguan middle road
186,Cockburn Town,TC,80.42,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
188,Oyama,JP,78.58,clear sky,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
189,Sao Gabriel Da Cachoeira,BR,72.12,moderate rain,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
190,Mingguang,CN,74.61,overcast clouds,32.7802,117.9638,Yonghao Hotel
194,Atuona,PF,78.55,clear sky,-9.8,-139.0333,Villa Enata
197,Izumo,JP,76.95,broken clouds,35.3667,132.7667,Toyoko-Inn Izumoshi ekimae
198,Mahebourg,MU,71.89,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
