City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Country,Date
0,Punta Arenas,-53.15,-70.9167,35.71,69,0,13.8,clear sky,CL,2022-05-28 02:43:21
1,Nuuk,64.1835,-51.7216,30.81,93,100,13.8,overcast clouds,GL,2022-05-28 02:41:06
2,Mataura,-46.1927,168.8643,55.47,66,16,5.86,few clouds,NZ,2022-05-28 02:43:22
3,Hilo,19.7297,-155.09,78.28,84,100,11.5,heavy intensity rain,US,2022-05-28 02:43:11
4,Esperance,-33.8667,121.9,64.54,44,8,15.28,clear sky,AU,2022-05-28 02:43:23
5,Georgetown,5.4112,100.3354,89.53,78,20,5.01,few clouds,MY,2022-05-28 02:43:23
6,Nyurba,63.2842,118.3319,50.16,43,74,8.79,broken clouds,RU,2022-05-28 02:43:24
7,Kahului,20.8947,-156.47,82.42,63,100,21.85,overcast clouds,US,2022-05-28 02:43:24
8,Jamestown,42.097,-79.2353,62.19,92,100,9.22,overcast clouds,US,2022-05-28 02:41:53
9,Bredasdorp,-34.5322,20.0403,53.49,89,76,4.07,broken clouds,ZA,2022-05-28 02:43:25
10,Sambava,-14.2667,50.1667,69.22,85,63,8.43,broken clouds,MG,2022-05-28 02:43:25
11,La Paz,-16.5,-68.15,37.38,75,0,4.61,clear sky,BO,2022-05-28 02:43:26
12,Bluff,-46.6,168.3333,55.8,75,95,7.83,overcast clouds,NZ,2022-05-28 02:43:26
13,Warri,5.5167,5.75,73.08,95,94,3.91,overcast clouds,NG,2022-05-28 02:43:27
14,Husavik,66.0449,-17.3389,39.34,85,4,7.07,clear sky,IS,2022-05-28 02:43:27
15,Karratha,-20.7377,116.8463,82.33,62,94,10.51,moderate rain,AU,2022-05-28 02:43:27
16,Isangel,-19.55,169.2667,81.18,69,100,5.12,overcast clouds,VU,2022-05-28 02:43:28
17,Ushuaia,-54.8,-68.3,33.46,86,100,0.0,overcast clouds,AR,2022-05-28 02:40:00
18,Vaini,-21.2,-175.2,82.56,78,75,6.91,broken clouds,TO,2022-05-28 02:43:29
19,Port Hardy,50.6996,-127.4199,55.58,67,75,11.5,broken clouds,CA,2022-05-28 02:42:14
20,Magnolia,33.2671,-93.2393,64.09,93,0,1.45,clear sky,US,2022-05-28 02:42:53
21,Chuy,-33.6971,-53.4616,51.82,88,52,6.31,broken clouds,UY,2022-05-28 02:43:29
22,Khatanga,71.9667,102.5,36.9,64,100,3.89,overcast clouds,RU,2022-05-28 02:43:30
23,Margate,51.3813,1.3862,52.88,69,35,5.99,scattered clouds,GB,2022-05-28 02:43:30
24,Hobyo,5.3505,48.5268,79.09,82,65,17.87,broken clouds,SO,2022-05-28 02:43:31
25,Batagay-Alyta,67.8006,130.4114,33.89,78,19,2.59,few clouds,RU,2022-05-28 02:43:31
26,Sitka,57.0531,-135.33,62.49,59,40,11.5,scattered clouds,US,2022-05-28 02:40:18
27,Tasiilaq,65.6145,-37.6368,41.16,80,100,9.24,overcast clouds,GL,2022-05-28 02:43:32
28,Castro,-24.7911,-50.0119,56.01,85,8,3.56,clear sky,BR,2022-05-28 02:43:32
29,Severo-Kurilsk,50.6789,156.125,45.5,87,100,1.97,overcast clouds,RU,2022-05-28 02:38:58
30,Barra Do Garcas,-15.89,-52.2567,68.05,66,98,0.72,overcast clouds,BR,2022-05-28 02:43:33
